seccion	gls_seccion	division	gls_division	clase	gls_clase
C	Industrias manufactureras	28	FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.	2817	Fabricación de maquinaria y equipo de oficina (excepto computadores y equipo periférico)
C	Industrias manufactureras	28	FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.	2818	Fabricación de herramientas de mano motorizadas
C	Industrias manufactureras	28	FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.	2819	Fabricación de otros tipos de maquinaria de uso general
C	Industrias manufactureras	28	FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.	2821	Fabricación de maquinaria agropecuaria y forestal
C	Industrias manufactureras	28	FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.	2822	Fabricación de maquinaria para la conformación de metales y de máquinas herramienta
C	Industrias manufactureras	28	FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.	2823	Fabricación de maquinaria metalúrgica
C	Industrias manufactureras	28	FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.	2824	Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción
C	Industrias manufactureras	28	FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.	2825	Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco
C	Industrias manufactureras	28	FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.	2826	Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros
C	Industrias manufactureras	28	FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.	2829	Fabricación de otros tipos de maquinaria de uso especial
C	Industrias manufactureras	29	FABRICACIÓN DE VEHÍCULOS AUTOMOTORES, REMOLQUES Y SEMIRREMOLQUES.	2910	Fabricación de vehículos automotores
C	Industrias manufactureras	29	FABRICACIÓN DE VEHÍCULOS AUTOMOTORES, REMOLQUES Y SEMIRREMOLQUES.	2920	Fabricación de carrocerías para vehículos automotores, fabricación de remolques y semirremolques
C	Industrias manufactureras	29	FABRICACIÓN DE VEHÍCULOS AUTOMOTORES, REMOLQUES Y SEMIRREMOLQUES.	2930	Fabricación de partes, piezas y accesorios para vehículos automotores
C	Industrias manufactureras	30	FABRICACIÓN DE OTROS TIPOS DE EQUIPOS DE TRANSPORTE.	3011	Construcción de buques y estructuras flotantes
C	Industrias manufactureras	30	FABRICACIÓN DE OTROS TIPOS DE EQUIPOS DE TRANSPORTE.	3012	Construcción de embarcaciones de recreo y de deporte
C	Industrias manufactureras	30	FABRICACIÓN DE OTROS TIPOS DE EQUIPOS DE TRANSPORTE.	3020	Fabricación de locomotoras y material rodante
C	Industrias manufactureras	30	FABRICACIÓN DE OTROS TIPOS DE EQUIPOS DE TRANSPORTE.	3030	Fabricación de aeronaves, naves espaciales y maquinaria conexa
C	Industrias manufactureras	30	FABRICACIÓN DE OTROS TIPOS DE EQUIPOS DE TRANSPORTE.	3040	Fabricación de vehículos militares de combate
