Seccion	Gls_Seccion	Grupo	Gls_Grupo	Clase	Gls_Clase
F	Construcción	422	Construcción de proyectos de servicio público	4220	Construcción de proyectos de servicio público
F	Construcción	429	Construcción de otras obras de ingeniería civil	4290	Construcción de otras obras de ingeniería civil
F	Construcción	431	Demolición y preparación del terreno	4311	Demolición
F	Construcción	431	Demolición y preparación del terreno	4312	Preparación del terreno
F	Construcción	432	Instalaciones eléctricas, de gasfitería y otras instalaciones para obras de construcción	4321	Instalaciones eléctricas
F	Construcción	432	Instalaciones eléctricas, de gasfitería y otras instalaciones para obras de construcción	4322	Instalaciones de gasfitería, calefacción y aire acondicionado
F	Construcción	432	Instalaciones eléctricas, de gasfitería y otras instalaciones para obras de construcción	4329	Otras instalaciones para obras de construcción
F	Construcción	433	Terminación y acabado de edificios	4330	Terminación y acabado de edificios
F	Construcción	439	Otras actividades especializadas de construcción	4390	Otras actividades especializadas de construcción
G	Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas	451	Venta de vehículos automotores	4510	Venta de vehículos automotores
G	Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas	452	Mantenimiento y reparación de vehículos automotores	4520	Mantenimiento y reparación de vehículos automotores
G	Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas	453	Venta de partes, piezas y accesorios para vehículos automotores	4530	Venta de partes, piezas y accesorios para vehículos automotores
G	Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas	454	Venta, mantenimiento y reparación de motocicletas y sus partes, piezas y accesorios	4540	Venta, mantenimiento y reparación de motocicletas y sus partes, piezas y accesorios
G	Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas	461	Venta al por mayor a cambio de una retribución o por contrata	4610	Venta al por mayor a cambio de una retribución o por contrata
G	Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas	462	Venta al por mayor de materias primas agropecuarias y animales vivos	4620	Venta al por mayor de materias primas agropecuarias y animales vivos
G	Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas	463	Venta al por mayor de alimentos, bebidas y tabaco	4630	Venta al por mayor de alimentos, bebidas y tabaco
G	Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas	464	Venta al por mayor de enseres domésticos	4641	Venta al por mayor de productos textiles, prendas de vestir y calzado
G	Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas	464	Venta al por mayor de enseres domésticos	4649	Venta al por mayor de otros enseres domésticos
G	Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas	465	Venta al por mayor de maquinaria, equipo y materiales	4651	Venta al por mayor de computadores, equipo periférico y programas informáticos
G	Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas	465	Venta al por mayor de maquinaria, equipo y materiales	4652	Venta al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones
G	Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas	465	Venta al por mayor de maquinaria, equipo y materiales	4653	Venta al por mayor de maquinaria, equipo y materiales agropecuarios
G	Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas	465	Venta al por mayor de maquinaria, equipo y materiales	4659	Venta al por mayor de otros tipos de maquinaria y equipo
